year,LineCode,airport,gdp
2011-01-01,10.0,ORD,6058052.0
2011-01-01,11.0,ORD,14891650.0
2011-01-01,12.0,ORD,70196959.0
2011-01-01,13.0,ORD,
2011-01-01,25.0,ORD,
2011-01-01,34.0,ORD,
2011-01-01,35.0,ORD,26584144.0
2011-01-01,36.0,ORD,
2011-01-01,45.0,ORD,
2011-01-01,50.0,ORD,113144825.0
2011-01-01,51.0,ORD,48858336.0
2011-01-01,56.0,ORD,64286489.0
2011-01-01,59.0,ORD,
2011-01-01,60.0,ORD,
2011-01-01,64.0,ORD,
2011-01-01,65.0,ORD,18713018.0
2011-01-01,68.0,ORD,47656202.0
2011-01-01,69.0,ORD,
2011-01-01,70.0,ORD,
2011-01-01,75.0,ORD,20301295.0
2011-01-01,76.0,ORD,
2011-01-01,79.0,ORD,
2011-01-01,82.0,ORD,
2011-01-01,83.0,ORD,52188066.0
2011-01-01,,ORD,
2011-01-01,87.0,ORD,975404.0
2011-01-01,88.0,ORD,
2011-01-01,89.0,ORD,
2011-01-01,90.0,ORD,
2011-01-01,91.0,ORD,86064013.0
2011-01-01,92.0,ORD,394709668.0
2011-01-01,1.0,DEN,145505300.0
2011-01-01,2.0,DEN,129955870.0
2011-01-01,3.0,DEN,
2011-01-01,6.0,DEN,2838229.0
2011-01-01,10.0,DEN,937983.0
2011-01-01,11.0,DEN,4846492.0
2011-01-01,12.0,DEN,
2011-01-01,13.0,DEN,
2011-01-01,25.0,DEN,
2011-01-01,34.0,DEN,
2011-01-01,35.0,DEN,7579360.0
2011-01-01,36.0,DEN,
2011-01-01,45.0,DEN,12913308.0
2011-01-01,50.0,DEN,29465829.0
2011-01-01,51.0,DEN,10037535.0
2011-01-01,56.0,DEN,19428294.0
2011-01-01,59.0,DEN,
2011-01-01,60.0,DEN,15669106.0
2011-01-01,64.0,DEN,
2011-01-01,65.0,DEN,
2011-01-01,68.0,DEN,
2011-01-01,69.0,DEN,
2011-01-01,70.0,DEN,
2011-01-01,75.0,DEN,5773863.0
2011-01-01,76.0,DEN,1695885.0
2011-01-01,79.0,DEN,4077978.0
2011-01-01,82.0,DEN,3170855.0
2011-01-01,83.0,DEN,15549430.0
2011-01-01,,DEN,
2011-01-01,87.0,DEN,
2011-01-01,88.0,DEN,
2011-01-01,89.0,DEN,
2011-01-01,90.0,DEN,
2011-01-01,91.0,DEN,
2011-01-01,92.0,DEN,
2011-01-01,1.0,DTW,200051064.0
2011-01-01,2.0,DTW,181591273.0
2011-01-01,3.0,DTW,151491.0
2011-01-01,6.0,DTW,258446.0
2011-01-01,10.0,DTW,2240122.0
2011-01-01,11.0,DTW,5269985.0
2011-01-01,12.0,DTW,34839248.0
2011-01-01,13.0,DTW,29860828.0
2011-01-01,25.0,DTW,4978420.0
