AIRPORT_SEQ_ID,AIRPORT,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_COUNTRY_NAME,AIRPORT_STATE_NAME,
1513401,TBB,"Tuy Hoa, Vietnam",Vietnam,,
1513402,TBB,"Tuy Hoa, Vietnam",Vietnam,,
1513403,TBB,"Tuy Hoa, Vietnam",Vietnam,,
1513404,TBB,"Tuy Hoa, Vietnam",Vietnam,,
1513405,TBB,"Tuy Hoa, Vietnam",Vietnam,,
1513406,TBB,"Tuy Hoa, Vietnam",Vietnam,,
1513501,TBF,"Tabiteuea, Kiribati",Kiribati,,
1513502,TBF,"Tabiteuea, Kiribati",Kiribati,,
1513503,TBF,"Tabiteuea, Kiribati",Kiribati,,
1513601,TBI,"New Bight, The Bahamas",The Bahamas,,
1513701,TBL,"Tableland, Australia",Australia,,
1513801,TBN,"Fort Leonard Wood, MO",United States,Missouri,
1513802,TBN,"Fort Leonard Wood, MO",United States,Missouri,
1513901,TBO,"Tabora, Tanzania",Tanzania,,
1513902,TBO,"Tabora, Tanzania",Tanzania,,
1513903,TBO,"Tabora, Tanzania",Tanzania,,
1513904,TBO,"Tabora, Tanzania",Tanzania,,
1513905,TBO,"Tabora, Tanzania",Tanzania,,
1514001,TBP,"Tumbes, Peru",Peru,,
1514002,TBP,"Tumbes, Peru",Peru,,
1514003,TBP,"Tumbes, Peru",Peru,,
1514101,TBR,"Statesboro, GA",United States,Georgia,
1514102,TBR,"Statesboro, GA",United States,Georgia,
1514201,TBS,"Tbilisi, U.S.S.R.",U.S.S.R.,,
1514202,TBS,"Tbilisi, Georgia",Georgia,,
1514301,TBT,"Tabatinga, Brazil",Brazil,,
1514302,TBT,"Tabatinga, Brazil",Brazil,,
1514303,TBT,"Tabatinga, Brazil",Brazil,,
1514304,TBT,"Tabatinga, Brazil",Brazil,,
1514305,TBT,"Tabatinga, Brazil",Brazil,,
1514401,TBU,"Tonga Tapu, Tonga",Tonga,,
1514402,TBU,"Tonga Tapu, Tonga",Tonga,,
1514403,TBU,"Tonga Tapu, Tonga",Tonga,,
1514501,TBZ,"Tabriz, Iran",Iran,,
1514502,TBZ,"Tabriz, Iran",Iran,,
1514601,TCA,"Tennant Creek, Australia",Australia,,
1514602,TCA,"Tennant Creek, Australia",Australia,,
1514701,TCB,"Treasure Cay, The Bahamas",The Bahamas,,
1514702,TCB,"Treasure Cay, The Bahamas",The Bahamas,,
1514801,TCC,"Tucumcari, NM",United States,New Mexico,
1514802,TCC,"Tucumcari, NM",United States,New Mexico,
1514901,TCE,"Tulcea, Romania",Romania,,
1514902,TCE,"Tulcea, Romania",Romania,,
1514903,TCE,"Tulcea, Romania",Romania,,
1515001,TCF,"Tocoa, Honduras",Honduras,,
1515101,TCH,"Tchibanga, Gabon",Gabon,,
1515102,TCH,"Tchibanga, Gabon",Gabon,,
1515201,TCI,"Tenerife, Spain",Spain,,
1515202,TCI,"Tenerife, Spain",Spain,,
1515203,TCI,"Tenerife, Spain",Spain,,
1515301,TCL,"Tuscaloosa, AL",United States,Alabama,
1515302,TCL,"Tuscaloosa, AL",United States,Alabama,
1515401,TCM,"Tacoma, WA",United States,Washington,
1515402,TCM,"Tacoma, WA",United States,Washington,
1515501,TCN,"Tehuacan, Mexico",Mexico,,
1515502,TCN,"Tehuacan, Mexico",Mexico,,
1515503,TCN,"Tehuacan, Mexico",Mexico,,
1515504,TCN,"Tehuacan, Mexico",Mexico,,
1515505,TCN,"Tehuacan, Mexico",Mexico,,
1515601,TCO,"Tumaco, Colombia",Colombia,,
1515602,TCO,"Tumaco, Colombia",Colombia,,
1515701,TCP,"Taba, Egypt",Egypt,,
1515702,TCP,"Taba, Egypt",Egypt,,
1515703,TCP,"Taba, Egypt",Egypt,,
1515704,TCP,"Taba, Egypt",Egypt,,
1515705,TCP,"Taba, Egypt",Egypt,,
1515801,TCQ,"Tacna, Peru",Peru,,
1515802,TCQ,"Tacna, Peru",Peru,,
1515901,TCS,"Truth Or Consequences, NM",United States,New Mexico,
1515902,TCS,"Truth Or Consequences, NM",United States,New Mexico,
1515903,TCS,"Truth Or Consequences, NM",United States,New Mexico,
1515904,TCS,"Truth Or Consequences, NM",United States,New Mexico,
1515905,TCS,"Truth Or Consequences, NM",United States,New Mexico,
1516001,TCT,"Takotna, AK",United States,Alaska,
1516002,TCT,"Takotna, AK",United States,Alaska,
1516003,TCT,"Takotna, AK",United States,Alaska,
1516004,TCT,"Takotna, AK",United States,Alaska,
1516005,TCT,"Takotna, AK",United States,Alaska,
1516006,TCT,"Takotna, AK",United States,Alaska,
1516101,TDA,"Trinidad, Colombia",Colombia,,
1516102,TDA,"Trinidad, Colombia",Colombia,,
1516103,TDA,"Trinidad, Colombia",Colombia,,
1516104,TDA,"Trinidad, Colombia",Colombia,,
1516105,TDA,"Trinidad, Colombia",Colombia,,
1516201,TDD,"Trinidad, Bolivia",Bolivia,,
1516202,TDD,"Trinidad, Bolivia",Bolivia,,
1516203,TDD,"Trinidad, Bolivia",Bolivia,,
1516204,TDD,"Trinidad, Bolivia",Bolivia,,
1516301,TDF,"Roxboro, NC",United States,North Carolina,
1516302,TDF,"Roxboro, NC",United States,North Carolina,
