GeoFips,GeoName,LineCode,Description,2011,2012,2013
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",51,      Finance and insurance,4360601,4935533,5408001
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",56,      Real estate and rental and leasing,8720409,9280109,9944495
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",59,    Professional and business services,13310665,14377920,15547612
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",60,"      Professional, scientific, and technical services",9709176,10669731,11498134
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",64,      Management of companies and enterprises,(D),(D),(D)
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",65,      Administrative and support and waste management and remediation services,(D),(D),(D)
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",68,"    Educational services, health care, and social assistance",6254195,6700861,6934914
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",69,      Educational services,775808,830338,860740
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",70,      Health care and social assistance,5478387,5870523,6074174
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",75,"    Arts, entertainment, recreation, accommodation, and food services",3637605,3990528,4251965
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",76,"      Arts, entertainment, and recreation",653357,(D),(D)
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",79,      Accommodation and food services,2984248,(D),(D)
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",82,    Other services (except government and government enterprises),2276530,2448854,2636475
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",83,Government and government enterprises,12768408,13134066,13847430
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",,Addenda:,,,
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",87,Natural resources and mining,1212765,1150330,1126506
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",88,Trade,16128313,17704701,18270550
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",89,Transportation and utilities,2092467,2346155,2318611
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",90,Manufacturing and information,19952589,18768157,19863161
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",91,Private goods-producing industries 2/,19108878,18236086,19172329
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",92,Private services-providing industries 3/,62764138,67884123,72056624
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",1,All industry total,340778444,357087616,365670891
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",2,  Private industries,305948117,323342588,330917081
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",3,"    Agriculture, forestry, fishing and hunting",(D),(D),(D)
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",88970,90949,93397
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",10,    Utilities,4760740,4629285,4844466
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",11,    Construction,8799884,9466517,(D)
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",12,    Manufacturing,34607376,35140597,(D)
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",13,      Durable goods manufacturing,24999720,25028694,24093802
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",25,      Nondurable goods manufacturing,9607657,10111903,(D)
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",34,    Wholesale trade,18812276,18835815,19663070
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",35,    Retail trade,12720563,12875443,13323890
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",36,    Transportation and warehousing,(D),(D),(D)
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",45,    Information,22966037,22632395,23853304
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",50,"    Finance, insurance, real estate, rental, and leasing",75298495,84560333,84828342
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",51,      Finance and insurance,29692072,36584365,35468314
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",56,      Real estate and rental and leasing,45606423,47975968,49360028
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",59,    Professional and business services,62104125,66238752,67255412
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",60,"      Professional, scientific, and technical services",44958447,48335120,48754992
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",64,      Management of companies and enterprises,7407765,7937840,8321955
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",65,      Administrative and support and waste management and remediation services,9737914,9965792,10178465
